"","gene","coverage","chromosome","begin","end","orientation","length","position","perc_coverage","Mb_position","Chr"
"192","Sh01_g000050",19,"Sh01",69088,74749,"+",5661,71918.5,0.335629747394453,0.0719185,"Sh0"
"193","Sh01_g000060",37,"Sh01",77087,83334,"+",6247,80210.5,0.592284296462302,0.0802105,"Sh0"
"194","Sh01_g000070",320,"Sh01",102543,106773,"-",4230,104658,7.56501182033097,0.104658,"Sh0"
"195","Sh01_g000080",151,"Sh01",130451,137050,"+",6599,133750.5,2.28822548871041,0.1337505,"Sh0"
"196","Sh01_g000180",18,"Sh01",192073,196925,"-",4852,194499,0.370981038746909,0.194499,"Sh0"
"197","Sh01_g000210",19,"Sh01",306719,309131,"+",2412,307925,0.787728026533997,0.307925,"Sh0"
"198","Sh01_g000250",18,"Sh01",358587,362935,"-",4348,360761,0.413983440662373,0.360761,"Sh0"
"199","Sh01_g000280",18,"Sh01",408484,410857,"+",2373,409670.5,0.758533501896334,0.4096705,"Sh0"
"200","Sh01_g000340",18,"Sh01",434182,434815,"-",633,434498.5,2.8436018957346,0.4344985,"Sh0"
"201","Sh01_g000410",38,"Sh01",509236,513275,"+",4039,511255.5,0.940826937360733,0.5112555,"Sh0"
"202","Sh01_g000440",18,"Sh01",542565,544119,"+",1554,543342,1.15830115830116,0.543342,"Sh0"
"203","Sh01_g000480",163,"Sh01",594276,594727,"-",451,594501.5,36.1419068736142,0.5945015,"Sh0"
"204","Sh01_g000510",18,"Sh01",701236,702428,"-",1192,701832,1.51006711409396,0.701832,"Sh0"
"205","Sh01_g000570",38,"Sh01",796323,800880,"+",4557,798601.5,0.833881939872723,0.7986015,"Sh0"
"206","Sh01_g000610",18,"Sh01",844205,844901,"-",696,844553,2.58620689655172,0.844553,"Sh0"
"207","Sh01_g000680",37,"Sh01",919281,921939,"+",2658,920610,1.39202407825433,0.92061,"Sh0"
"208","Sh01_g000770",19,"Sh01",1021283,1022210,"-",927,1021746.5,2.04962243797195,1.0217465,"Sh0"
"209","Sh01_g000860",20,"Sh01",1227254,1231767,"-",4513,1229510.5,0.443164192333259,1.2295105,"Sh0"
"210","Sh01_g001040",21,"Sh01",1579904,1585282,"-",5378,1582593,0.390479732242469,1.582593,"Sh0"
"211","Sh01_g001060",37,"Sh01",1600832,1601988,"+",1156,1601410,3.20069204152249,1.60141,"Sh0"
"212","Sh01_g001120",19,"Sh01",1630963,1632987,"+",2024,1631975,0.938735177865613,1.631975,"Sh0"
"213","Sh01_g001210",260,"Sh01",1761065,1765424,"+",4359,1763244.5,5.96467079605414,1.7632445,"Sh0"
"214","Sh01_g001230",296,"Sh01",1805163,1810223,"-",5060,1807693,5.8498023715415,1.807693,"Sh0"
"215","Sh01_g001320",18,"Sh01",1923089,1927846,"-",4757,1925467.5,0.378389741433677,1.9254675,"Sh0"
"216","Sh01_g001340",18,"Sh01",2029300,2029600,"+",300,2029450,6,2.02945,"Sh0"
"217","Sh01_g001370",17,"Sh01",2065287,2067530,"-",2243,2066408.5,0.757913508693714,2.0664085,"Sh0"
"218","Sh01_g001460",18,"Sh01",2129867,2145735,"-",15868,2137801,0.11343584572725,2.137801,"Sh0"
"219","Sh01_g001560",19,"Sh01",2262091,2264193,"-",2102,2263142,0.903901046622265,2.263142,"Sh0"
"220","Sh01_g001610",207,"Sh01",2301307,2303188,"-",1881,2302247.5,11.0047846889952,2.3022475,"Sh0"
"221","Sh01_g001660",21,"Sh01",2321374,2321988,"+",614,2321681,3.42019543973941,2.321681,"Sh0"
"222","Sh01_g001670",18,"Sh01",2329861,2330532,"+",671,2330196.5,2.68256333830104,2.3301965,"Sh0"
"223","Sh01_g001750",156,"Sh01",2454173,2458990,"+",4817,2456581.5,3.23853020552211,2.4565815,"Sh0"
"224","Sh01_g001860",83,"Sh01",2569165,2573936,"+",4771,2571550.5,1.73967721651645,2.5715505,"Sh0"
"225","Sh01_g001920",119,"Sh01",2634914,2636129,"+",1215,2635521.5,9.79423868312757,2.6355215,"Sh0"
"226","Sh01_g002070",36,"Sh01",2822099,2823653,"-",1554,2822876,2.31660231660232,2.822876,"Sh0"
"227","Sh01_g002110",18,"Sh01",2846729,2849654,"-",2925,2848191.5,0.615384615384615,2.8481915,"Sh0"
"228","Sh01_g002120",37,"Sh01",2866989,2873259,"+",6270,2870124,0.590111642743222,2.870124,"Sh0"
"229","Sh01_g002180",19,"Sh01",2971976,2975302,"-",3326,2973639,0.571256764882742,2.973639,"Sh0"
"230","Sh01_g002230",24,"Sh01",3035396,3035893,"-",497,3035644.5,4.82897384305835,3.0356445,"Sh0"
"231","Sh01_g002260",19,"Sh01",3052090,3053364,"-",1274,3052727,1.49136577708006,3.052727,"Sh0"
"232","Sh01_g002450",55,"Sh01",3354917,3356935,"+",2018,3355926,2.72547076313181,3.355926,"Sh0"
"233","Sh01_g002470",18,"Sh01",3422889,3426648,"-",3759,3424768.5,0.478850758180367,3.4247685,"Sh0"
"234","Sh01_g002510",36,"Sh01",3457157,3461518,"+",4361,3459337.5,0.825498738821371,3.4593375,"Sh0"
"235","Sh01_g002580",112,"Sh01",3520111,3521446,"-",1335,3520778.5,8.38951310861423,3.5207785,"Sh0"
"236","Sh01_g002710",154,"Sh01",3612685,3615709,"-",3024,3614197,5.09259259259259,3.614197,"Sh0"
"237","Sh01_g002750",36,"Sh01",3779596,3784043,"+",4447,3781819.5,0.80953451765235,3.7818195,"Sh0"
"238","Sh01_g002770",75,"Sh01",3790574,3794335,"+",3761,3792454.5,1.99415049189045,3.7924545,"Sh0"
"239","Sh01_g002820",173,"Sh01",3916631,3926661,"-",10030,3921646,1.72482552342971,3.921646,"Sh0"
"240","Sh01_g002930",18,"Sh01",4053303,4054619,"+",1316,4053961,1.3677811550152,4.053961,"Sh0"
"241","Sh01_g002970",18,"Sh01",4112322,4117460,"+",5138,4114891,0.35033086804204,4.114891,"Sh0"
